lgd_block_code,state,district,block,population,literacy_rate,female_literacy_rate,sc_st_share,bpl_share,phone_penetration,net_penetration,urban,tribal,aspirational,digital_access_index
27001000,Maharashtra,Dhule,Dhule,301653,0.701,0.563,0.276,0.161,0.75,0.482,False,False,False,0.6464
27001001,Maharashtra,Dhule,Sakri,173950,0.517,0.391,0.837,0.431,0.607,0.173,False,True,False,0.4371
27001002,Maharashtra,Nandurbar,Nandurbar,171554,0.537,0.384,0.681,0.416,0.495,0.258,False,True,True,0.4204
27001003,Maharashtra,Nandurbar,Shahada,135650,0.589,0.479,0.812,0.38,0.594,0.219,False,True,True,0.4617
27001004,Maharashtra,Nandurbar,Taloda,188653,0.624,0.482,0.811,0.433,0.573,0.195,False,True,True,0.4509
27001005,Maharashtra,Nandurbar,Navapur,114404,0.534,0.418,0.676,0.454,0.468,0.19,False,True,True,0.3839
27001006,Maharashtra,Nandurbar,Akkalkuwa,74176,0.552,0.449,0.57,0.404,0.476,0.228,False,True,True,0.4044
27001007,Maharashtra,Nandurbar,Akrani,86642,0.529,0.349,0.777,0.406,0.476,0.188,False,True,True,0.3858
27002000,Maharashtra,Pune,Haveli,160782,0.706,0.576,0.306,0.24,0.858,0.573,False,False,False,0.7278
27002001,Maharashtra,Pune,Khed,378978,0.691,0.606,0.293,0.283,0.794,0.481,False,False,False,0.6638
27002002,Maharashtra,Pune,Mulshi,275718,0.686,0.576,0.229,0.183,0.856,0.446,False,False,False,0.6785
27002003,Maharashtra,Pune,Bhor,212426,0.807,0.704,0.314,0.27,0.723,0.546,False,False,False,0.6778
27002004,Maharashtra,Jalgaon,Jalgaon,215380,0.703,0.594,0.199,0.2,0.702,0.514,False,False,False,0.6364
27002005,Maharashtra,Jalgaon,Bhusawal,310130,0.725,0.637,0.155,0.274,0.858,0.454,False,False,False,0.69
27002006,Maharashtra,Nashik,Nashik,376874,0.829,0.723,0.272,0.269,0.822,0.496,False,False,False,0.7093
27002007,Maharashtra,Nashik,Malegaon,308944,0.798,0.706,0.237,0.289,0.77,0.391,False,False,False,0.643
27003000,Maharashtra,Gadchiroli,Gadchiroli,151140,0.575,0.402,0.814,0.592,0.522,0.249,False,True,True,0.437
27003001,Maharashtra,Washim,Washim,172710,0.621,0.515,0.234,0.302,0.706,0.295,False,False,True,0.5452
