lgd_state_code,lgd_district_code,lgd_block_code,state,district,block,aspirational,tribal,urban,lgd_code_official,official_source
27,486,4166,Maharashtra,Dhule,Dhule,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,486,4167,Maharashtra,Dhule,Sakri,False,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,487,4172,Maharashtra,Nandurbar,Nandurbar,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,487,4174,Maharashtra,Nandurbar,Shahada,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,487,4173,Maharashtra,Nandurbar,Taloda,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,487,4175,Maharashtra,Nandurbar,Navapur,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,487,4171,Maharashtra,Nandurbar,Akkalkuwa,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,487,4170,Maharashtra,Nandurbar,Akrani,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,492,4220,Maharashtra,Pune,Haveli,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,492,4216,Maharashtra,Pune,Khed,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,492,4219,Maharashtra,Pune,Mulshi,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,492,4223,Maharashtra,Pune,Bhor,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,489,4191,Maharashtra,Jalgaon,Jalgaon,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,489,4192,Maharashtra,Jalgaon,Bhusawal,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,488,4176,Maharashtra,Nashik,Nashik,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,488,4178,Maharashtra,Nashik,Malegaon,False,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,505,4335,Maharashtra,Gadchiroli,Gadchiroli,True,True,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
27,502,4310,Maharashtra,Washim,Washim,True,False,False,True,lgdirectory.gov.in / Ministry of Panchayati Raj (MoPR)
