lgd_block_code,state,district,block,sector,deficit_0_1,coverage_pct
27001000,Maharashtra,Dhule,Dhule,roads,0.5334,53.86
27001000,Maharashtra,Dhule,Dhule,water,0.4768,53.72
27001000,Maharashtra,Dhule,Dhule,power,0.59,48.68
27001000,Maharashtra,Dhule,Dhule,health,0.5293,51.22
27001000,Maharashtra,Dhule,Dhule,education,0.3877,56.8
27001000,Maharashtra,Dhule,Dhule,sanitation,0.5272,43.54
27001000,Maharashtra,Dhule,Dhule,digital,0.5727,44.98
27001001,Maharashtra,Dhule,Sakri,roads,0.7474,31.54
27001001,Maharashtra,Dhule,Sakri,water,0.607,34.76
27001001,Maharashtra,Dhule,Sakri,power,0.5865,41.15
27001001,Maharashtra,Dhule,Sakri,health,0.6514,33.24
27001001,Maharashtra,Dhule,Sakri,education,0.7286,31.69
27001001,Maharashtra,Dhule,Sakri,sanitation,0.7878,17.98
27001001,Maharashtra,Dhule,Sakri,digital,0.6114,41.86
27001002,Maharashtra,Nandurbar,Nandurbar,roads,0.8213,11.32
27001002,Maharashtra,Nandurbar,Nandurbar,water,0.7624,29.34
27001002,Maharashtra,Nandurbar,Nandurbar,power,0.6993,27.72
27001002,Maharashtra,Nandurbar,Nandurbar,health,0.7532,30.86
27001002,Maharashtra,Nandurbar,Nandurbar,education,0.8708,13.9
27001002,Maharashtra,Nandurbar,Nandurbar,sanitation,0.7333,33.51
27001002,Maharashtra,Nandurbar,Nandurbar,digital,0.8883,18.52
27001003,Maharashtra,Nandurbar,Shahada,roads,0.7309,20.99
27001003,Maharashtra,Nandurbar,Shahada,water,0.7636,21.7
27001003,Maharashtra,Nandurbar,Shahada,power,0.7838,14.33
27001003,Maharashtra,Nandurbar,Shahada,health,0.7641,22.68
27001003,Maharashtra,Nandurbar,Shahada,education,0.7869,29.26
27001003,Maharashtra,Nandurbar,Shahada,sanitation,0.8405,8.73
27001003,Maharashtra,Nandurbar,Shahada,digital,0.8409,20.1
27001004,Maharashtra,Nandurbar,Taloda,roads,0.7265,21.69
27001004,Maharashtra,Nandurbar,Taloda,water,0.8051,17.88
27001004,Maharashtra,Nandurbar,Taloda,power,0.6979,27.28
27001004,Maharashtra,Nandurbar,Taloda,health,0.8906,18.49
27001004,Maharashtra,Nandurbar,Taloda,education,0.8588,13.91
27001004,Maharashtra,Nandurbar,Taloda,sanitation,0.8767,5.03
27001004,Maharashtra,Nandurbar,Taloda,digital,0.8148,25.92
27001005,Maharashtra,Nandurbar,Navapur,roads,0.8688,16.49
27001005,Maharashtra,Nandurbar,Navapur,water,0.7251,28.59
27001005,Maharashtra,Nandurbar,Navapur,power,0.8962,11.1
27001005,Maharashtra,Nandurbar,Navapur,health,0.7648,17.15
27001005,Maharashtra,Nandurbar,Navapur,education,0.8143,13.25
27001005,Maharashtra,Nandurbar,Navapur,sanitation,0.9028,6.73
27001005,Maharashtra,Nandurbar,Navapur,digital,0.7373,23.72
27001006,Maharashtra,Nandurbar,Akkalkuwa,roads,0.8957,17.29
27001006,Maharashtra,Nandurbar,Akkalkuwa,water,0.7562,23.62
27001006,Maharashtra,Nandurbar,Akkalkuwa,power,0.8724,5.97
27001006,Maharashtra,Nandurbar,Akkalkuwa,health,0.8649,21.45
27001006,Maharashtra,Nandurbar,Akkalkuwa,education,0.7523,28.99
27001006,Maharashtra,Nandurbar,Akkalkuwa,sanitation,0.8047,21.42
27001006,Maharashtra,Nandurbar,Akkalkuwa,digital,0.8278,12.71
27001007,Maharashtra,Nandurbar,Akrani,roads,0.8199,20.95
27001007,Maharashtra,Nandurbar,Akrani,water,0.8524,13.62
27001007,Maharashtra,Nandurbar,Akrani,power,0.7506,18.94
27001007,Maharashtra,Nandurbar,Akrani,health,0.878,15.55
27001007,Maharashtra,Nandurbar,Akrani,education,0.7885,26.99
27001007,Maharashtra,Nandurbar,Akrani,sanitation,0.8459,9.21
27001007,Maharashtra,Nandurbar,Akrani,digital,0.8473,22.0
27002000,Maharashtra,Pune,Haveli,roads,0.3774,59.93
27002000,Maharashtra,Pune,Haveli,water,0.4259,65.32
27002000,Maharashtra,Pune,Haveli,power,0.5436,48.82
27002000,Maharashtra,Pune,Haveli,health,0.5595,46.54
27002000,Maharashtra,Pune,Haveli,education,0.4361,53.87
27002000,Maharashtra,Pune,Haveli,sanitation,0.5028,47.93
27002000,Maharashtra,Pune,Haveli,digital,0.5379,51.3
27002001,Maharashtra,Pune,Khed,roads,0.5989,35.63
27002001,Maharashtra,Pune,Khed,water,0.5508,38.28
27002001,Maharashtra,Pune,Khed,power,0.518,43.15
27002001,Maharashtra,Pune,Khed,health,0.4304,52.03
27002001,Maharashtra,Pune,Khed,education,0.5737,44.89
27002001,Maharashtra,Pune,Khed,sanitation,0.6,44.44
27002001,Maharashtra,Pune,Khed,digital,0.4134,60.9
27002002,Maharashtra,Pune,Mulshi,roads,0.5054,51.71
27002002,Maharashtra,Pune,Mulshi,water,0.4103,62.47
27002002,Maharashtra,Pune,Mulshi,power,0.4018,60.14
27002002,Maharashtra,Pune,Mulshi,health,0.4926,46.11
27002002,Maharashtra,Pune,Mulshi,education,0.5007,57.77
27002002,Maharashtra,Pune,Mulshi,sanitation,0.5499,49.52
27002002,Maharashtra,Pune,Mulshi,digital,0.4718,54.61
27002003,Maharashtra,Pune,Bhor,roads,0.4045,65.23
27002003,Maharashtra,Pune,Bhor,water,0.5213,49.9
27002003,Maharashtra,Pune,Bhor,power,0.4818,57.13
27002003,Maharashtra,Pune,Bhor,health,0.4364,51.09
27002003,Maharashtra,Pune,Bhor,education,0.4811,58.05
27002003,Maharashtra,Pune,Bhor,sanitation,0.6012,39.56
27002003,Maharashtra,Pune,Bhor,digital,0.5016,51.93
27002004,Maharashtra,Jalgaon,Jalgaon,roads,0.5372,40.62
27002004,Maharashtra,Jalgaon,Jalgaon,water,0.4848,49.05
27002004,Maharashtra,Jalgaon,Jalgaon,power,0.5131,46.51
27002004,Maharashtra,Jalgaon,Jalgaon,health,0.618,34.54
27002004,Maharashtra,Jalgaon,Jalgaon,education,0.5226,48.4
27002004,Maharashtra,Jalgaon,Jalgaon,sanitation,0.3991,58.02
27002004,Maharashtra,Jalgaon,Jalgaon,digital,0.5238,49.38
27002005,Maharashtra,Jalgaon,Bhusawal,roads,0.5801,38.67
27002005,Maharashtra,Jalgaon,Bhusawal,water,0.4019,55.35
27002005,Maharashtra,Jalgaon,Bhusawal,power,0.4762,55.28
27002005,Maharashtra,Jalgaon,Bhusawal,health,0.4831,48.76
27002005,Maharashtra,Jalgaon,Bhusawal,education,0.5083,48.9
27002005,Maharashtra,Jalgaon,Bhusawal,sanitation,0.4492,55.94
27002005,Maharashtra,Jalgaon,Bhusawal,digital,0.4774,50.26
27002006,Maharashtra,Nashik,Nashik,roads,0.4384,48.61
27002006,Maharashtra,Nashik,Nashik,water,0.3974,60.49
27002006,Maharashtra,Nashik,Nashik,power,0.4609,49.09
27002006,Maharashtra,Nashik,Nashik,health,0.4442,62.47
27002006,Maharashtra,Nashik,Nashik,education,0.4323,61.2
27002006,Maharashtra,Nashik,Nashik,sanitation,0.4713,53.3
27002006,Maharashtra,Nashik,Nashik,digital,0.563,43.52
27002007,Maharashtra,Nashik,Malegaon,roads,0.4968,44.9
27002007,Maharashtra,Nashik,Malegaon,water,0.5014,45.48
27002007,Maharashtra,Nashik,Malegaon,power,0.5089,51.68
27002007,Maharashtra,Nashik,Malegaon,health,0.5467,46.13
27002007,Maharashtra,Nashik,Malegaon,education,0.6287,34.33
27002007,Maharashtra,Nashik,Malegaon,sanitation,0.5477,47.56
27002007,Maharashtra,Nashik,Malegaon,digital,0.5628,47.84
27003000,Maharashtra,Gadchiroli,Gadchiroli,roads,0.8734,12.18
27003000,Maharashtra,Gadchiroli,Gadchiroli,water,0.9219,2.8
27003000,Maharashtra,Gadchiroli,Gadchiroli,power,0.7384,27.82
27003000,Maharashtra,Gadchiroli,Gadchiroli,health,0.8447,10.4
27003000,Maharashtra,Gadchiroli,Gadchiroli,education,0.8456,19.39
27003000,Maharashtra,Gadchiroli,Gadchiroli,sanitation,0.7924,19.51
27003000,Maharashtra,Gadchiroli,Gadchiroli,digital,0.9212,10.91
27003001,Maharashtra,Washim,Washim,roads,0.6615,26.18
27003001,Maharashtra,Washim,Washim,water,0.6948,38.48
27003001,Maharashtra,Washim,Washim,power,0.6888,24.79
27003001,Maharashtra,Washim,Washim,health,0.7024,25.41
27003001,Maharashtra,Washim,Washim,education,0.6139,44.95
27003001,Maharashtra,Washim,Washim,sanitation,0.5845,36.67
