mdb_code,lgd_block_code,province,district,municipality,state,block,sector,deficit_0_1,coverage_pct
EC154,EC154,Eastern Cape,OR Tambo,Port St Johns,Eastern Cape,Port St Johns,roads,0.8508,14.92
EC154,EC154,Eastern Cape,OR Tambo,Port St Johns,Eastern Cape,Port St Johns,water,0.7816,21.84
EC154,EC154,Eastern Cape,OR Tambo,Port St Johns,Eastern Cape,Port St Johns,power,0.7192,28.08
EC154,EC154,Eastern Cape,OR Tambo,Port St Johns,Eastern Cape,Port St Johns,health,0.8405,15.95
EC154,EC154,Eastern Cape,OR Tambo,Port St Johns,Eastern Cape,Port St Johns,education,0.784,21.6
EC154,EC154,Eastern Cape,OR Tambo,Port St Johns,Eastern Cape,Port St Johns,sanitation,0.7286,27.14
EC154,EC154,Eastern Cape,OR Tambo,Port St Johns,Eastern Cape,Port St Johns,digital,0.7156,28.44
EC155,EC155,Eastern Cape,OR Tambo,Nyandeni,Eastern Cape,Nyandeni,roads,0.8717,12.83
EC155,EC155,Eastern Cape,OR Tambo,Nyandeni,Eastern Cape,Nyandeni,water,0.7722,22.78
EC155,EC155,Eastern Cape,OR Tambo,Nyandeni,Eastern Cape,Nyandeni,power,0.839,16.1
EC155,EC155,Eastern Cape,OR Tambo,Nyandeni,Eastern Cape,Nyandeni,health,0.742,25.8
EC155,EC155,Eastern Cape,OR Tambo,Nyandeni,Eastern Cape,Nyandeni,education,0.8397,16.03
EC155,EC155,Eastern Cape,OR Tambo,Nyandeni,Eastern Cape,Nyandeni,sanitation,0.7713,22.87
EC155,EC155,Eastern Cape,OR Tambo,Nyandeni,Eastern Cape,Nyandeni,digital,0.8707,12.93
EC157,EC157,Eastern Cape,OR Tambo,King Sabata Dalindyebo,Eastern Cape,King Sabata Dalindyebo,roads,0.4807,51.93
EC157,EC157,Eastern Cape,OR Tambo,King Sabata Dalindyebo,Eastern Cape,King Sabata Dalindyebo,water,0.4558,54.42
EC157,EC157,Eastern Cape,OR Tambo,King Sabata Dalindyebo,Eastern Cape,King Sabata Dalindyebo,power,0.4684,53.16
EC157,EC157,Eastern Cape,OR Tambo,King Sabata Dalindyebo,Eastern Cape,King Sabata Dalindyebo,health,0.5029,49.71
EC157,EC157,Eastern Cape,OR Tambo,King Sabata Dalindyebo,Eastern Cape,King Sabata Dalindyebo,education,0.5551,44.49
EC157,EC157,Eastern Cape,OR Tambo,King Sabata Dalindyebo,Eastern Cape,King Sabata Dalindyebo,sanitation,0.5426,45.74
EC157,EC157,Eastern Cape,OR Tambo,King Sabata Dalindyebo,Eastern Cape,King Sabata Dalindyebo,digital,0.4785,52.15
EC156,EC156,Eastern Cape,OR Tambo,Mhlontlo,Eastern Cape,Mhlontlo,roads,0.6823,31.77
EC156,EC156,Eastern Cape,OR Tambo,Mhlontlo,Eastern Cape,Mhlontlo,water,0.7332,26.68
EC156,EC156,Eastern Cape,OR Tambo,Mhlontlo,Eastern Cape,Mhlontlo,power,0.7646,23.54
EC156,EC156,Eastern Cape,OR Tambo,Mhlontlo,Eastern Cape,Mhlontlo,health,0.675,32.5
